,Cell IdX,Cell IdY,Cell IdZ,X [mm],Y [mm],Z [mm],Dose,FieldScalingFactor
0,0,0,0,-22.0,-22.0,2.0,9.65254e-05,0.3474044903610067
1,0,0,1,-22.0,-22.0,6.0,9.65254e-05,0.35178658165503807
2,0,0,2,-22.0,-22.0,10.0,9.65254e-05,0.3562738787068127
3,0,1,0,-22.0,-18.0,2.0,9.65254e-05,0.3475143504958661
4,0,1,1,-22.0,-18.0,6.0,9.65254e-05,0.3519004112288333
5,0,1,2,-22.0,-18.0,10.0,9.65254e-05,0.3563918709571091
6,0,2,0,-22.0,-14.0,2.0,9.65254e-05,0.3475280240887068
7,0,2,1,-22.0,-14.0,6.0,9.65254e-05,0.35191458363460587
8,0,2,2,-22.0,-14.0,10.0,9.65254e-05,0.3564065667519594
9,1,0,0,-18.0,-22.0,2.0,9.65254e-05,0.3476533199174434
10,1,0,1,-18.0,-22.0,6.0,9.65254e-05,0.3520444019358487
11,1,0,2,-18.0,-22.0,10.0,9.65254e-05,0.3565411274016596
12,1,1,0,-18.0,-18.0,2.0,9.65254e-05,0.3477548613549849
13,1,1,1,-18.0,-18.0,6.0,9.65254e-05,0.3521496163109208
14,1,1,2,-18.0,-18.0,10.0,9.65254e-05,0.35665019377045964
15,1,2,0,-18.0,-14.0,2.0,9.65254e-05,0.34776004103903463
16,1,2,1,-18.0,-14.0,6.0,9.65254e-05,0.35215498764615183
17,1,2,2,-18.0,-14.0,10.0,9.65254e-05,0.35665576636490726
18,2,0,0,-14.0,-22.0,2.0,9.65254e-05,0.3478450615737341
19,2,0,1,-14.0,-22.0,6.0,9.65254e-05,0.35224307942679545
20,2,0,2,-14.0,-22.0,10.0,9.65254e-05,0.3567470788646972
21,2,1,0,-14.0,-18.0,2.0,9.65254e-05,0.34793822889551285
22,2,1,1,-14.0,-18.0,6.0,9.65254e-05,0.352339619814355
23,2,1,2,-14.0,-18.0,10.0,9.65254e-05,0.3568471569442814
24,2,2,0,-14.0,-14.0,2.0,9.65254e-05,0.3479348996541052
25,2,2,1,-14.0,-14.0,6.0,9.65254e-05,0.3523361741413126
26,2,2,2,-14.0,-14.0,10.0,9.65254e-05,0.3568435894108625
27,0,0,3,-22.0,-22.0,14.0,0.000200668,0.36087020329435004
28,0,0,4,-22.0,-22.0,18.0,0.000200668,0.3655795639198238
29,0,0,5,-22.0,-22.0,22.0,0.000200668,0.3704061673122843
30,0,1,3,-22.0,-18.0,14.0,0.000200668,0.3609925633418912
31,0,1,4,-22.0,-18.0,18.0,0.000200668,0.3657065096547768
32,0,1,5,-22.0,-18.0,22.0,0.000200668,0.3705379303584162
33,0,2,3,-22.0,-14.0,14.0,0.000200668,0.36100780863518667
34,0,2,4,-22.0,-14.0,18.0,0.000200668,0.3657223322053726
35,0,2,5,-22.0,-14.0,22.0,0.000200668,0.37055435970134837
36,1,0,3,-18.0,-22.0,14.0,0.000200668,0.36114734500977763
37,1,0,4,-18.0,-22.0,18.0,0.000200668,0.36586709218686375
38,1,0,5,-18.0,-22.0,22.0,0.000200668,0.3707046067706204
39,1,1,3,-18.0,-18.0,14.0,0.000200668,0.3612604534586711
40,1,1,4,-18.0,-18.0,18.0,0.000200668,0.36598444465669755
41,1,1,5,-18.0,-18.0,22.0,0.000200668,0.37082641795370763
42,1,2,3,-18.0,-14.0,14.0,0.000200668,0.3612662375320741
43,1,2,4,-18.0,-14.0,18.0,0.000200668,0.36599045108795836
44,1,2,5,-18.0,-14.0,22.0,0.000200668,0.37083265833277357
45,2,0,3,-14.0,-22.0,14.0,0.000200668,0.3613609294134983
46,2,0,4,-14.0,-22.0,18.0,0.000200668,0.366088690887959
47,2,0,5,-14.0,-22.0,22.0,0.000200668,0.37093462520807435
48,2,1,3,-14.0,-18.0,14.0,0.000200668,0.3614647199668621
49,2,1,4,-14.0,-18.0,18.0,0.000200668,0.36619637961258306
50,2,1,5,-14.0,-18.0,22.0,0.000200668,0.3710464095446073
51,2,2,3,-14.0,-14.0,14.0,0.000200668,0.3614610248285042
52,2,2,4,-14.0,-14.0,18.0,0.000200668,0.3661925507869636
53,2,2,5,-14.0,-14.0,22.0,0.000200668,0.3710424405878781
54,0,3,0,-22.0,-10.0,2.0,0.00252436,0.3474455071655808
55,0,3,1,-22.0,-10.0,6.0,0.00252436,0.351829094642766
56,0,3,2,-22.0,-10.0,10.0,0.00252436,0.3563179615860769
57,0,4,0,-22.0,-6.0,2.0,0.00252436,0.3472669547249011
58,0,4,1,-22.0,-6.0,6.0,0.00252436,0.35164410865029
59,0,4,2,-22.0,-6.0,10.0,0.00252436,0.356126229945834
60,0,5,0,-22.0,-2.0,2.0,0.00252436,0.34699268006971806
61,0,5,1,-22.0,-2.0,6.0,0.00252436,0.35135995795575026
62,0,5,2,-22.0,-2.0,10.0,0.00252436,0.35583172452143796
63,1,3,0,-18.0,-10.0,2.0,0.00252436,0.34766886273815567
64,1,3,1,-18.0,-10.0,6.0,0.00252436,0.3520605199254237
65,1,3,2,-18.0,-10.0,10.0,0.00252436,0.35655784939883434
66,1,4,0,-18.0,-6.0,2.0,0.00252436,0.3474814896485796
67,1,4,1,-18.0,-6.0,6.0,0.00252436,0.35186638625358263
68,1,4,2,-18.0,-6.0,10.0,0.00252436,0.35635662661519296
69,1,5,0,-18.0,-2.0,2.0,0.00252436,0.34719824370215646
70,1,5,1,-18.0,-2.0,6.0,0.00252436,0.35157292810509205
71,1,5,2,-18.0,-2.0,10.0,0.00252436,0.3560524604694781
72,2,3,0,-14.0,-10.0,2.0,0.00252436,0.3478350853778227
73,2,3,1,-14.0,-10.0,6.0,0.00252436,0.35223275462366244
74,2,3,2,-14.0,-10.0,10.0,0.00252436,0.35673638921770107
75,2,4,0,-14.0,-6.0,2.0,0.00252436,0.3476389573685066
76,2,4,1,-14.0,-6.0,6.0,0.00252436,0.35202954297410693
